,reaction,direction,source,coenzyme,equation,reactants,products,reactant_gen,product_gen,generation,ec_list
7061,R08900_v4,forward,KEGG (Modified),M2,C00043 + C01759 + Z00069 => C00015 + C17587 + Z00069,C00043 + C01759 + Z00069,C00015 + C17587 + Z00069,68.0,69.0,68.5,
7060,R08900_v3,forward,KEGG (Modified),Mg,C00043 + C01759 + Z00029 => C00015 + C17587 + Z00029,C00043 + C01759 + Z00029,C00015 + C17587 + Z00029,68.0,69.0,68.5,
7059,R08900_v2,forward,KEGG (Modified),Mn,C00043 + C01759 + Z00030 => C00015 + C17587 + Z00030,C00043 + C01759 + Z00030,C00015 + C17587 + Z00030,68.0,69.0,68.5,
7058,R08900_v1,forward,KEGG (Modified),Co,C00043 + C01759 + Z00006 => C00015 + C17587 + Z00006,C00043 + C01759 + Z00006,C00015 + C17587 + Z00006,68.0,69.0,68.5,
5614,R06730,forward,KEGG,,C10858 => C12449,C10858,C12449,68.0,69.0,68.5,
7043,R08887,forward,KEGG,,C17945 + C00197 => C06367 + C00055 + C00009,C17945 + C00197,C06367 + C00055 + C00009,68.0,69.0,68.5,
8888,R11174_v1,forward,KEGG (Modified),Mg,C06510 + C04778 + Z00029 => C00144 + C21153 + Z00029,C06510 + C04778 + Z00029,C00144 + C21153 + Z00029,68.0,69.0,68.5,
5651,R06798,forward,KEGG,,C12137 => C12640,C12137,C12640,68.0,69.0,68.5,
4652,R04906,forward,KEGG,,C05635 => C05832,C05635,C05832,68.0,69.0,68.5,
5759,R06955,forward,KEGG,,C13453 => C13454,C13453,C13454,68.0,69.0,68.5,
5654,R06801,forward,KEGG,,C12137 + C00083 => C12642 + C00010,C12137 + C00083,C12642 + C00010,68.0,69.0,68.5,
6989,R08823,forward,KEGG,,C08540 + C17759 => C08552 + C00031,C08540 + C17759,C08552 + C00031,68.0,69.0,68.5,
9565,R12067_v2,forward,KEGG (Modified),FAD,C19859 + C00030 + C00007 + Z00013 => C21860 + C00028 + C00001 + Z00013,C19859 + C00030 + C00007 + Z00013,C21860 + C00028 + C00001 + Z00013,68.0,69.0,68.5,
