,reaction,direction,source,coenzyme,equation,reactants,products,reactant_gen,product_gen,generation,ec_list
2569,R02407,forward,KEGG,,C00091 + C00490 => C00042 + C00531,C00091 + C00490,C00042 + C00531,48.0,48.0,48.0,
2570,R02407,reverse,KEGG,,C00042 + C00531 => C00091 + C00490,C00042 + C00531,C00091 + C00490,48.0,48.0,48.0,
10002,R12566,forward,KEGG,,C00406 + C00001 => C00755 + C00024,C00406 + C00001,C00755 + C00024,48.0,48.0,48.0,
10003,R12566,reverse,KEGG,,C00755 + C00024 => C00406 + C00001,C00755 + C00024,C00406 + C00001,48.0,48.0,48.0,
9907,R12467,reverse,KEGG,,5C00011 + 6C00010 + 4C00006 + 3C00001 + C22086 => 4C00683 + 4C00005 + 4C00080 + C22178 + C00083,5C00011 + 6C00010 + 4C00006 + 3C00001 + C22086,4C00683 + 4C00005 + 4C00080 + C22178 + C00083,47.0,49.0,48.0,
9908,R12468,reverse,KEGG,,7C00011 + 8C00010 + 6C00006 + 5C00001 + C22179 => 6C00683 + 6C00005 + 6C00080 + C22178 + C00083,7C00011 + 8C00010 + 6C00006 + 5C00001 + C22179,6C00683 + 6C00005 + 6C00080 + C22178 + C00083,47.0,49.0,48.0,
452,R00354_v1,forward,KEGG (Modified),2'-(5-phosphoribosyl)-3'-dephospho-CoA,C00566 + Z00071 => C00024 + C00036 + Z00071,C00566 + Z00071,C00024 + C00036 + Z00071,48.0,48.0,48.0,
453,R00354_v1,reverse,KEGG (Modified),2'-(5-phosphoribosyl)-3'-dephospho-CoA,C00024 + C00036 + Z00071 => C00566 + Z00071,C00024 + C00036 + Z00071,C00566 + Z00071,48.0,48.0,48.0,
8194,R10343,forward,KEGG,,C00091 + C00033 => C00024 + C00042,C00091 + C00033,C00024 + C00042,48.0,48.0,48.0,
6951,R08767,reverse,KEGG,,C02949 + C00024 + C00004 + C00080 => C00223 + C00010 + C00003 + C00001,C02949 + C00024 + C00004 + C00080,C00223 + C00010 + C00003 + C00001,48.0,48.0,48.0,
8430,R10614,forward,KEGG,,C00024 + C00209 => C00033 + C00313,C00024 + C00209,C00033 + C00313,48.0,48.0,48.0,
395,R00325_v1,forward,KEGG (Modified),CoA,C02614 + Z00051 => C00033 + C00022 + Z00051,C02614 + Z00051,C00033 + C00022 + Z00051,48.0,48.0,48.0,
9819,R12380_v1,reverse,KEGG (Modified),Phosphopantetheine,8C00010 + 6C00006 + 8C00011 + 8C00001 + C22125 + Z00038 => 8C00683 + 6C00005 + 6C00080 + C22124 + Z00038,8C00010 + 6C00006 + 8C00011 + 8C00001 + C22125 + Z00038,8C00683 + 6C00005 + 6C00080 + C22124 + Z00038,47.0,49.0,48.0,
853,R00743,forward,KEGG,,C00024 + C00383 => C00033 + C00083,C00024 + C00383,C00033 + C00083,48.0,48.0,48.0,
8259,R10419_v1,forward,KEGG (Modified),"FAD, CoA",C00283 + C00003 + Z00051 + Z00013 => C00087 + C00004 + C00080 + Z00051 + Z00013,C00283 + C00003 + Z00051 + Z00013,C00087 + C00004 + C00080 + Z00051 + Z00013,48.0,48.0,48.0,
1740,R01559,reverse,KEGG,,C00042 + C00313 => C00091 + C00209,C00042 + C00313,C00091 + C00209,48.0,48.0,48.0,
8260,R10419_v1,reverse,KEGG (Modified),"FAD, CoA",C00087 + C00004 + C00080 + Z00051 + Z00013 => C00283 + C00003 + Z00051 + Z00013,C00087 + C00004 + C00080 + Z00051 + Z00013,C00283 + C00003 + Z00051 + Z00013,48.0,48.0,48.0,
8416,R10600,forward,KEGG,,C00024 + C00490 => C00033 + C00531,C00024 + C00490,C00033 + C00531,48.0,48.0,48.0,
1059,R00922,forward,KEGG,,C00349 + C00010 + C00003 => C00100 + C00011 + C00004 + C00080,C00349 + C00010 + C00003,C00100 + C00011 + C00004 + C00080,48.0,48.0,48.0,
1060,R00922,reverse,KEGG,,C00100 + C00011 + C00004 + C00080 => C00349 + C00010 + C00003,C00100 + C00011 + C00004 + C00080,C00349 + C00010 + C00003,48.0,48.0,48.0,
1739,R01559,forward,KEGG,,C00091 + C00209 => C00042 + C00313,C00091 + C00209,C00042 + C00313,48.0,48.0,48.0,
8417,R10600,reverse,KEGG,,C00033 + C00531 => C00024 + C00490,C00033 + C00531,C00024 + C00490,48.0,48.0,48.0,
8285,R10438_v1,forward,KEGG (Modified),"FAD, CoA",C00283 + C00006 + Z00051 + Z00013 => C00087 + C00005 + C00080 + Z00051 + Z00013,C00283 + C00006 + Z00051 + Z00013,C00087 + C00005 + C00080 + Z00051 + Z00013,48.0,48.0,48.0,
289,R00233,forward,KEGG,,C00083 => C00024 + C00011,C00083,C00024 + C00011,48.0,48.0,48.0,
8286,R10438_v1,reverse,KEGG (Modified),"FAD, CoA",C00087 + C00005 + C00080 + Z00051 + Z00013 => C00283 + C00006 + Z00051 + Z00013,C00087 + C00005 + C00080 + Z00051 + Z00013,C00283 + C00006 + Z00051 + Z00013,48.0,48.0,48.0,
6532,R08171,reverse,KEGG,,C07394 + C00010 => C16524 + C00512,C07394 + C00010,C16524 + C00512,47.0,49.0,48.0,
1504,R01323,reverse,KEGG,,C00033 + C00566 => C00024 + C00158,C00033 + C00566,C00024 + C00158,48.0,48.0,48.0,
1503,R01323,forward,KEGG,,C00024 + C00158 => C00033 + C00566,C00024 + C00158,C00033 + C00566,48.0,48.0,48.0,
9837,R12397,reverse,KEGG,,C00020 + C22124 => C22135 + C21097,C00020 + C22124,C22135 + C21097,20.0,76.0,48.0,
290,R00233,reverse,KEGG,,C00024 + C00011 => C00083,C00024 + C00011,C00083,48.0,48.0,48.0,
854,R00743,reverse,KEGG,,C00033 + C00083 => C00024 + C00383,C00033 + C00083,C00024 + C00383,48.0,48.0,48.0,
396,R00325_v1,reverse,KEGG (Modified),CoA,C00033 + C00022 + Z00051 => C02614 + Z00051,C00033 + C00022 + Z00051,C02614 + Z00051,48.0,48.0,48.0,
6950,R08767,forward,KEGG,,C00223 + C00010 + C00003 + C00001 => C02949 + C00024 + C00004 + C00080,C00223 + C00010 + C00003 + C00001,C02949 + C00024 + C00004 + C00080,48.0,48.0,48.0,
2117,R01942_v2,reverse,KEGG (Modified),Mg,C00021 + C00406 + Z00029 => C00019 + C00323 + Z00029,C00021 + C00406 + Z00029,C00019 + C00323 + Z00029,48.0,48.0,48.0,
2080,R01908_v1,forward,KEGG (Modified),Thiamine diphosphate,C00313 + Z00047 => C00798 + C00011 + Z00047,C00313 + Z00047,C00798 + C00011 + Z00047,48.0,48.0,48.0,
495,R00406,forward,KEGG,,C00091 + C00149 => C00042 + C04348,C00091 + C00149,C00042 + C04348,48.0,48.0,48.0,
2114,R01942_v1,forward,KEGG (Modified),M2,C00019 + C00323 + Z00069 => C00021 + C00406 + Z00069,C00019 + C00323 + Z00069,C00021 + C00406 + Z00069,48.0,48.0,48.0,
7546,R09654_v1,forward,KEGG (Modified),FAD,C19765 + C02061 + Z00013 => C19764 + C16693 + Z00013,C19765 + C02061 + Z00013,C19764 + C16693 + Z00013,35.0,61.0,48.0,
569,R00473_v1,reverse,KEGG (Modified),Mn,C00024 + C00048 + Z00030 => C04348 + Z00030,C00024 + C00048 + Z00030,C04348 + Z00030,48.0,48.0,48.0,
496,R00406,reverse,KEGG,,C00042 + C04348 => C00091 + C00149,C00042 + C04348,C00091 + C00149,48.0,48.0,48.0,
5979,R07290,forward,KEGG,,C00798 + C00209 => C00058 + C00313,C00798 + C00209,C00058 + C00313,48.0,48.0,48.0,
2115,R01942_v1,reverse,KEGG (Modified),M2,C00021 + C00406 + Z00069 => C00019 + C00323 + Z00069,C00021 + C00406 + Z00069,C00019 + C00323 + Z00069,48.0,48.0,48.0,
2119,R01942_v3,reverse,KEGG (Modified),Zn,C00021 + C00406 + Z00054 => C00019 + C00323 + Z00054,C00021 + C00406 + Z00054,C00019 + C00323 + Z00054,48.0,48.0,48.0,
6087,R07436,forward,KEGG,,C00223 => C00323,C00223,C00323,48.0,48.0,48.0,
2081,R01908_v1,reverse,KEGG (Modified),Thiamine diphosphate,C00798 + C00011 + Z00047 => C00313 + Z00047,C00798 + C00011 + Z00047,C00313 + Z00047,48.0,48.0,48.0,
475,R00385,reverse,KEGG,,C00605 + C00005 + C00080 => C00040 + C00006,C00605 + C00005 + C00080,C00040 + C00006,48.0,48.0,48.0,
457,R00362_v1,reverse,KEGG (Modified),"Mg, CoA",C00033 + C00036 + Z00051 + Z00029 => C00158 + Z00051 + Z00029,C00033 + C00036 + Z00051 + Z00029,C00158 + Z00051 + Z00029,48.0,48.0,48.0,
456,R00362_v1,forward,KEGG (Modified),"Mg, CoA",C00158 + Z00051 + Z00029 => C00033 + C00036 + Z00051 + Z00029,C00158 + Z00051 + Z00029,C00033 + C00036 + Z00051 + Z00029,48.0,48.0,48.0,
474,R00385,forward,KEGG,,C00040 + C00006 => C00605 + C00005 + C00080,C00040 + C00006,C00605 + C00005 + C00080,48.0,48.0,48.0,
568,R00473_v1,forward,KEGG (Modified),Mn,C04348 + Z00030 => C00024 + C00048 + Z00030,C04348 + Z00030,C00024 + C00048 + Z00030,48.0,48.0,48.0,
482,R00393,reverse,KEGG,,C02403 + C00024 => C00040 + C00033,C02403 + C00024,C00040 + C00033,48.0,48.0,48.0,
2118,R01942_v3,forward,KEGG (Modified),Zn,C00019 + C00323 + Z00054 => C00021 + C00406 + Z00054,C00019 + C00323 + Z00054,C00021 + C00406 + Z00054,48.0,48.0,48.0,
8678,R10904,forward,KEGG,,C00091 + C01732 => C00042 + C06028,C00091 + C01732,C00042 + C06028,48.0,48.0,48.0,
8679,R10904,reverse,KEGG,,C00042 + C06028 => C00091 + C01732,C00042 + C06028,C00091 + C01732,48.0,48.0,48.0,
2116,R01942_v2,forward,KEGG (Modified),Mg,C00019 + C00323 + Z00029 => C00021 + C00406 + Z00029,C00019 + C00323 + Z00029,C00021 + C00406 + Z00029,48.0,48.0,48.0,
5980,R07290,reverse,KEGG,,C00058 + C00313 => C00798 + C00209,C00058 + C00313,C00798 + C00209,48.0,48.0,48.0,
7761,R09873,forward,KEGG,,C00024 + C19947 => C00010 + C20156,C00024 + C19947,C00010 + C20156,48.0,49.0,48.5,
9352,R11781,forward,KEGG,,C00040 + C21607 => C00010 + C21608,C00040 + C21607,C00010 + C21608,48.0,49.0,48.5,
9256,R11674_v1,reverse,KEGG (Modified),"4Fe4S, FAD",2C00004 + 2C00139 + C00323 + Z00002 + Z00013 => 2C00003 + 2C00138 + C21175 + Z00002 + Z00013,2C00004 + 2C00139 + C00323 + Z00002 + Z00013,2C00003 + 2C00138 + C21175 + Z00002 + Z00013,48.0,49.0,48.5,
8483,R10674_v1,reverse,KEGG (Modified),Mn,C00024 + C00022 + Z00030 => C20746 + Z00030,C00024 + C00022 + Z00030,C20746 + Z00030,48.0,49.0,48.5,
3694,R03668,forward,KEGG,,C00024 + C01678 => C00010 + C03537,C00024 + C01678,C00010 + C03537,48.0,49.0,48.5,
1339,R01160,forward,KEGG,,C00024 + C00135 => C00010 + C02997,C00024 + C00135,C00010 + C02997,48.0,49.0,48.5,
1794,R01617,forward,KEGG,,C00223 + C00179 => C04498 + C00010,C00223 + C00179,C04498 + C00010,48.0,49.0,48.5,
5585,R06627,forward,KEGG,,C12318 + C00019 => C12319 + C00021,C12318 + C00019,C12319 + C00021,48.0,49.0,48.5,
9353,R11782,forward,KEGG,,C00040 + C21606 => C00010 + C21609,C00040 + C21606,C00010 + C21609,48.0,49.0,48.5,
5583,R06625,forward,KEGG,,4C00083 => 3C00010 + 4C00011 + C12324 + C00001,4C00083,3C00010 + 4C00011 + C12324 + C00001,48.0,49.0,48.5,
1792,R01615,reverse,KEGG,,C00223 + C00005 + C00080 => C05608 + C00010 + C00006,C00223 + C00005 + C00080,C05608 + C00010 + C00006,48.0,49.0,48.5,
8093,R10219,forward,KEGG,,C00024 + C18802 => C00010 + C18799 + C00237,C00024 + C18802,C00010 + C18799 + C00237,48.0,49.0,48.5,
2640,R02487,forward,KEGG,,C00527 + C00016 => C01352 + C00877 + C00011,C00527 + C00016,C01352 + C00877 + C00011,48.0,49.0,48.5,
2121,R01944,forward,KEGG,,C00323 + C00134 => C00010 + C03002,C00323 + C00134,C00010 + C03002,48.0,49.0,48.5,
2122,R01945,forward,KEGG,,C00323 + C00296 => C00010 + C00852,C00323 + C00296,C00010 + C00852,48.0,49.0,48.5,
8484,R10674_v2,reverse,KEGG (Modified),Mg,C00024 + C00022 + Z00029 => C20746 + Z00029,C00024 + C00022 + Z00029,C20746 + Z00029,48.0,49.0,48.5,
2645,R02490,reverse,KEGG,,C00531 + C00001 => C00904,C00531 + C00001,C00904,48.0,49.0,48.5,
8055,R10174,forward,KEGG,,C00024 + C04268 => C00010 + C06018,C00024 + C04268,C00010 + C06018,48.0,49.0,48.5,
8570,R10782_v1,forward,KEGG (Modified),"4Fe4S, FAD",C11062 + Z00002 + Z00013 => C00877 + C00001 + Z00002 + Z00013,C11062 + Z00002 + Z00013,C00877 + C00001 + Z00002 + Z00013,48.0,49.0,48.5,
8310,R10459,forward,KEGG,,C11460 + C00004 + C00080 => C12481 + C00003,C11460 + C00004 + C00080,C12481 + C00003,48.0,49.0,48.5,
1058,R00921,forward,KEGG,,C00100 + C00009 => C02876 + C00010,C00100 + C00009,C02876 + C00010,48.0,49.0,48.5,
1057,R00920_v1,reverse,KEGG (Modified),NAD/NADP,C00008 + C00009 + C00100 + Z00032 => C00002 + C00163 + C00010 + Z00032,C00008 + C00009 + C00100 + Z00032,C00002 + C00163 + C00010 + Z00032,48.0,49.0,48.5,
6823,R08597,forward,KEGG,,C11922 => C11927,C11922,C11927,48.0,49.0,48.5,
9783,R12337,forward,KEGG,,6C00083 + 5C00005 + 6C00080 + C00004 => 6C00010 + 5C00006 + 6C00011 + 4C00001 + C22087 + C00003,6C00083 + 5C00005 + 6C00080 + C00004,6C00010 + 5C00006 + 6C00011 + 4C00001 + C22087 + C00003,48.0,49.0,48.5,
9467,R11902,forward,KEGG,,C00024 + C05361 => C00010 + C07447,C00024 + C05361,C00010 + C07447,48.0,49.0,48.5,
6409,R07988,forward,KEGG,,3C00083 + C00323 => 4C00010 + 3C00011 + C15525,3C00083 + C00323,4C00010 + 3C00011 + C15525,48.0,49.0,48.5,
8090,R10211,reverse,KEGG,,C20447 => C03724 + C00001,C20447,C03724 + C00001,48.0,49.0,48.5,
6410,R07989,forward,KEGG,,3C00083 + C00406 => 4C00010 + 3C00011 + C16405,3C00083 + C00406,4C00010 + 3C00011 + C16405,48.0,49.0,48.5,
488,R00399_v1,forward,KEGG (Modified),PLP,C00133 + C00024 + Z00035 => C03341 + C00010 + Z00035,C00133 + C00024 + Z00035,C03341 + C00010 + Z00035,48.0,49.0,48.5,
3946,R04000,forward,KEGG,,C00024 + C02630 => C00033 + C03058,C00024 + C02630,C00033 + C03058,48.0,49.0,48.5,
2646,R02491,reverse,KEGG,,C00531 + C00001 => C01011,C00531 + C00001,C01011,48.0,49.0,48.5,
1621,R01449,reverse,KEGG,,C00186 + C00100 => C00827 + C00163,C00186 + C00100,C00827 + C00163,48.0,49.0,48.5,
4664,R04919,forward,KEGG,,C05668 + C00006 => C05989 + C00005 + C00080,C05668 + C00006,C05989 + C00005 + C00080,48.0,49.0,48.5,
1056,R00919_v1,forward,KEGG (Modified),Zn,C00100 + C00006 + Z00054 => C00894 + C00005 + C00080 + Z00054,C00100 + C00006 + Z00054,C00894 + C00005 + C00080 + Z00054,48.0,49.0,48.5,
2811,R02661_v1,forward,KEGG (Modified),"FAD, NAD/NADP",C00630 + C00028 + Z00032 + C00630 + C00028 + Z00013 => C03460 + C00030 + Z00032 + C03460 + C00030 + Z00013,C00630 + C00028 + Z00032 + C00630 + C00028 + Z00013,C03460 + C00030 + Z00032 + C03460 + C00030 + Z00013,48.0,49.0,48.5,
2813,R02663,forward,KEGG,,C00630 => C05996,C00630,C05996,48.0,49.0,48.5,
2123,R01946,forward,KEGG,,C00323 + C00311 => C00010 + C02927,C00323 + C00311,C00010 + C02927,48.0,49.0,48.5,
6837,R08619_v1,forward,KEGG (Modified),Mn,C01180 + C00024 + C00001 + Z00030 => C17210 + C00010 + Z00030,C01180 + C00024 + C00001 + Z00030,C17210 + C00010 + Z00030,48.0,49.0,48.5,
1791,R01614,forward,KEGG,,3C00083 + C00223 => 4C00010 + 4C00011 + C03582,3C00083 + C00223,4C00010 + 4C00011 + C03582,48.0,49.0,48.5,
295,R00237_v1,reverse,KEGG (Modified),Mg,C00024 + C00022 + Z00029 => C01011 + Z00029,C00024 + C00022 + Z00029,C01011 + Z00029,48.0,49.0,48.5,
476,R00387,forward,KEGG,,C00040 + C00006 => C01122 + C00005 + C00080,C00040 + C00006,C01122 + C00005 + C00080,48.0,49.0,48.5,
928,R00821,forward,KEGG,,C00196 => C00090 + C00011,C00196,C00090 + C00011,48.0,49.0,48.5,
7199,R09097,reverse,KEGG,,C00100 + C00004 + C00080 => C00479 + C00003 + C00010,C00100 + C00004 + C00080,C00479 + C00003 + C00010,48.0,49.0,48.5,
7983,R10099_v1,forward,KEGG (Modified),NAD/NADP,C04630 + C00024 + Z00032 => C20357 + C00010 + Z00032,C04630 + C00024 + Z00032,C20357 + C00010 + Z00032,48.0,49.0,48.5,
5042,R05508,reverse,KEGG,,C00186 + C00024 => C00827 + C00033,C00186 + C00024,C00827 + C00033,48.0,49.0,48.5,
8908,R11200,forward,KEGG,,2C00223 + C00315 => 2C00010 + C21169,2C00223 + C00315,2C00010 + C21169,48.0,49.0,48.5,
5018,R05455,forward,KEGG,,C03160 => C06986 + C00010,C03160,C06986 + C00010,48.0,49.0,48.5,
2736,R02576,forward,KEGG,,C00582 + C00064 => C00010 + C04148,C00582 + C00064,C00010 + C04148,48.0,49.0,48.5,
473,R00384,forward,KEGG,,C00040 + C00003 => C00658 + C00004 + C00080,C00040 + C00003,C00658 + C00004 + C00080,48.0,49.0,48.5,
6217,R07661,reverse,KEGG,,C16156 + C00015 => C16154 + C17556,C16156 + C00015,C16154 + C17556,38.0,59.0,48.5,
7268,R09256,forward,KEGG,,C00223 + C00134 => C00010 + C18326,C00223 + C00134,C00010 + C18326,48.0,49.0,48.5,
9549,R12049,forward,KEGG,,2C00083 + C02247 => 3C00011 + 3C00010 + C21873,2C00083 + C02247,3C00011 + 3C00010 + C21873,48.0,49.0,48.5,
4948,R05337,forward,KEGG,,C11062 => C02331 + C00001,C11062,C02331 + C00001,48.0,49.0,48.5,
933,R00829,forward,KEGG,,C00091 + C00024 => C00010 + C02232,C00091 + C00024,C00010 + C02232,48.0,49.0,48.5,
6971,R08805,forward,KEGG,,C00223 + C00083 => C17740 + C00010 + C00011,C00223 + C00083,C17740 + C00010 + C00011,48.0,49.0,48.5,
4973,R05373,reverse,KEGG,,C00100 + C00011 => C02557,C00100 + C00011,C02557,48.0,49.0,48.5,
6972,R08806,forward,KEGG,,C00406 + C00083 => C17741 + C00010 + C00011,C00406 + C00083,C17741 + C00010 + C00011,48.0,49.0,48.5,
1144,R00998,reverse,KEGG,,C00024 + C00001 + C00109 => C02488 + C00010,C00024 + C00001 + C00109,C02488 + C00010,48.0,49.0,48.5,
479,R00391,forward,KEGG,,C00040 + C00024 => C00010 + C00264,C00040 + C00024,C00010 + C00264,48.0,49.0,48.5,
7269,R09257,forward,KEGG,,C00406 + C00134 => C00010 + C10497,C00406 + C00134,C00010 + C10497,48.0,49.0,48.5,
6201,R07644_v1,forward,KEGG (Modified),"Mg, Phosphopantetheine",6C00002 + 3C00196 + 3C00065 + Z00038 + Z00029 => 6C00020 + 6C00013 + C05821 + Z00038 + Z00029,6C00002 + 3C00196 + 3C00065 + Z00038 + Z00029,6C00020 + 6C00013 + C05821 + Z00038 + Z00029,48.0,49.0,48.5,
9974,R12537,forward,KEGG,,C18125 + C00001 => C22237 + C00162,C18125 + C00001,C22237 + C00162,48.0,49.0,48.5,
9082,R11474,forward,KEGG,,C21352 + C00005 + C00080 => C21353 + C00006,C21352 + C00005 + C00080,C21353 + C00006,48.0,49.0,48.5,
792,R00693,forward,KEGG,,C00024 + C00079 => C00010 + C03519,C00024 + C00079,C00010 + C03519,48.0,49.0,48.5,
4754,R05064,reverse,KEGG,,C00010 + C06001 => C06000 + C00001,C00010 + C06001,C06000 + C00001,48.0,49.0,48.5,
7428,R09527,forward,KEGG,,C00024 + C00083 => C00332 + C00010 + C00011,C00024 + C00083,C00332 + C00010 + C00011,48.0,49.0,48.5,
9085,R11479_v1,forward,KEGG (Modified),M2,C00024 + C03557 + Z00069 => C21403 + C00010 + Z00069,C00024 + C03557 + Z00069,C21403 + C00010 + Z00069,48.0,49.0,48.5,
4762,R05076,reverse,KEGG,,C06028 + C00001 => C06027,C06028 + C00001,C06027,48.0,49.0,48.5,
9997,R12561,forward,KEGG,,C22276 + C00024 => C22252 + C00010,C22276 + C00024,C22252 + C00010,48.0,49.0,48.5,
5089,R05586,reverse,KEGG,,C00527 + C00024 => C06715 + C00010,C00527 + C00024,C06715 + C00010,48.0,49.0,48.5,
5088,R05585,forward,KEGG,,2C00080 + C02247 => C00512 + C00014,2C00080 + C02247,C00512 + C00014,48.0,49.0,48.5,
4008,R04057,forward,KEGG,,C00024 + C02804 => C00033 + C03237,C00024 + C02804,C00033 + C03237,48.0,49.0,48.5,
8866,R11138,forward,KEGG,,C12318 => C21137,C12318,C21137,48.0,49.0,48.5,
7241,R09195,forward,KEGG,,C00002 + C00083 + C00064 + C00001 => C00020 + C00013 + C06625 + C00025,C00002 + C00083 + C00064 + C00001,C00020 + C00013 + C06625 + C00025,48.0,49.0,48.5,
2016,R01850,forward,KEGG,,C00024 + C00283 => C00010 + C01857,C00024 + C00283,C00010 + C01857,48.0,49.0,48.5,
2556,R02387,forward,KEGG,,C00024 + C00292 => C00010 + C07565,C00024 + C00292,C00010 + C07565,48.0,49.0,48.5,
9984,R12549,forward,KEGG,,C00024 + C11925 => C00010 + C22257,C00024 + C11925,C00010 + C22257,48.0,49.0,48.5,
2555,R02385,forward,KEGG,,C00406 + C00483 => C00010 + C02717,C00406 + C00483,C00010 + C02717,48.0,49.0,48.5,
296,R00238,forward,KEGG,,2C00024 => C00010 + C00332,2C00024,C00010 + C00332,48.0,49.0,48.5,
8019,R10142,forward,KEGG,,C00024 + C04346 => C00010 + C20415,C00024 + C04346,C00010 + C20415,48.0,49.0,48.5,
8861,R11124,forward,KEGG,,5C00083 + 3C00005 + 3C00080 + C00024 => 6C00010 + 5C00011 + 4C00001 + 3C00006 + C20803,5C00083 + 3C00005 + 3C00080 + C00024,6C00010 + 5C00011 + 4C00001 + 3C00006 + C20803,48.0,49.0,48.5,
8862,R11125,forward,KEGG,,5C00083 + 2C00005 + 2C00080 + C00024 => 6C00010 + 5C00011 + 3C00001 + 2C00006 + C20856,5C00083 + 2C00005 + 2C00080 + C00024,6C00010 + 5C00011 + 3C00001 + 2C00006 + C20856,48.0,49.0,48.5,
6585,R08213,forward,KEGG,,C00026 + C00024 => C16579 + C00010,C00026 + C00024,C16579 + C00010,48.0,49.0,48.5,
5082,R05579_v1,forward,KEGG (Modified),FAD,C00527 + C00028 + Z00013 => C02411 + C00030 + Z00013,C00527 + C00028 + Z00013,C02411 + C00030 + Z00013,48.0,49.0,48.5,
2381,R02195,forward,KEGG,,C00406 + C00296 => C00010 + C02572,C00406 + C00296,C00010 + C02572,48.0,49.0,48.5,
1134,R00989,forward,KEGG,,C00083 + C00108 => C00010 + C03147,C00083 + C00108,C00010 + C03147,48.0,49.0,48.5,
1061,R00923,reverse,KEGG,,C00100 + C00011 => C00683,C00100 + C00011,C00683,48.0,49.0,48.5,
935,R00832,forward,KEGG,,C00091 + C00062 => C00010 + C03296,C00091 + C00062,C00010 + C03296,48.0,49.0,48.5,
1978,R01808,forward,KEGG,,C00024 + C00270 => C00010 + C04017,C00024 + C00270,C00010 + C04017,48.0,49.0,48.5,
9622,R12113,reverse,KEGG,,C00406 + C00005 + C00080 => C21914 + C00006,C00406 + C00005 + C00080,C21914 + C00006,48.0,49.0,48.5,
9621,R12112,reverse,KEGG,,C00223 + C00005 + C00080 => C21913 + C00006,C00223 + C00005 + C00080,C21913 + C00006,48.0,49.0,48.5,
3917,R03965,reverse,KEGG,,C00010 + C02750 => C00411 + C02287,C00010 + C02750,C00411 + C02287,47.0,50.0,48.5,
6881,R08680,forward,KEGG,,C00161 + C00024 + C00001 => C17263 + C00010,C00161 + C00024 + C00001,C17263 + C00010,48.0,49.0,48.5,
3181,R03045_v1,forward,KEGG (Modified),NAD/NADP,C05668 + Z00032 => C00894 + C00001 + Z00032,C05668 + Z00032,C00894 + C00001 + Z00032,48.0,49.0,48.5,
5940,R07250,forward,KEGG,,3C00083 + C12092 => 4C00010 + 3C00011 + C12093 + C00001,3C00083 + C12092,4C00010 + 3C00011 + C12093 + C00001,48.0,49.0,48.5,
9931,R12492,forward,KEGG,,C00223 + C03964 => C00811 + C22205,C00223 + C03964,C00811 + C22205,48.0,49.0,48.5,
8454,R10641,forward,KEGG,,C00091 + C00497 => C00042 + C20747,C00091 + C00497,C00042 + C20747,48.0,49.0,48.5,
7086,R08933,forward,KEGG,,C00019 + C11928 => C00021 + C18035,C00019 + C11928,C00021 + C18035,48.0,49.0,48.5,
7509,R09622,forward,KEGG,,C19703 + C00024 => C06717 + C00010,C19703 + C00024,C06717 + C00010,48.0,49.0,48.5,
7083,R08930_v1,forward,KEGG (Modified),PLP,C11922 + C00138 + C00080 + Z00035 => C18032 + C00001 + C00139 + Z00035,C11922 + C00138 + C00080 + Z00035,C18032 + C00001 + C00139 + Z00035,48.0,49.0,48.5,
8355,R10529,forward,KEGG,,C00223 + C00019 => C00010 + C00170 + C20677,C00223 + C00019,C00010 + C00170 + C20677,48.0,49.0,48.5,
8127,R10253,forward,KEGG,,C00590 + C00024 => C20225 + C00010,C00590 + C00024,C20225 + C00010,48.0,49.0,48.5,
5950,R07263,forward,KEGG,,C03160 => C15547 + C00001,C03160,C15547 + C00001,48.0,49.0,48.5,
1072,R00934_v1,forward,KEGG (Modified),Mn,C00100 + C00048 + Z00030 => C06027 + Z00030,C00100 + C00048 + Z00030,C06027 + Z00030,48.0,49.0,48.5,
7293,R09283,forward,KEGG,,C06028 => C18323,C06028,C18323,48.0,49.0,48.5,
6650,R08331,forward,KEGG,,C00322 + C00024 + C00001 => C16583 + C00010,C00322 + C00024 + C00001,C16583 + C00010,48.0,49.0,48.5,
5883,R07162,forward,KEGG,,C00040 + C00006 => C00658 + C00005 + C00080,C00040 + C00006,C00658 + C00005 + C00080,48.0,49.0,48.5,
4128,R04211,forward,KEGG,,C00313 + C03401 => C00010 + C04209,C00313 + C03401,C00010 + C04209,48.0,49.0,48.5,
9173,R11588,forward,KEGG,,C02247 + C00083 => C21452 + C00010 + C00011,C02247 + C00083,C21452 + C00010 + C00011,48.0,49.0,48.5,
8725,R10965,forward,KEGG,,5C00083 => 5C00010 + 5C00011 + C04033 + C00001,5C00083,5C00010 + 5C00011 + C04033 + C00001,48.0,49.0,48.5,
8453,R10640,forward,KEGG,,C00091 + C02612 => C00042 + C20746,C00091 + C02612,C00042 + C20746,48.0,49.0,48.5,
855,R00744,forward,KEGG,,C00083 + C00005 + C00080 => C05989 + C00006 + C00001,C00083 + C00005 + C00080,C05989 + C00006 + C00001,48.0,49.0,48.5,
1976,R01806,forward,KEGG,,C00024 + C00270 => C00010 + C04015,C00024 + C00270,C00010 + C04015,48.0,49.0,48.5,
1977,R01807,forward,KEGG,,C00024 + C00270 => C00010 + C04016,C00024 + C00270,C00010 + C04016,48.0,49.0,48.5,
4508,R04709,forward,KEGG,,3C00083 + C05195 => 4C00010 + 3C00011 + C06355,3C00083 + C05195,4C00010 + 3C00011 + C06355,48.0,49.0,48.5,
