reaction,direction,source,coenzyme,equation,reactants,products,reactant_gen,product_gen,generation,reaction_id,ec_list
R00200_gATP_v2,forward,KEGG (Modified),"K, Mg",C00022 + C00013 + Z00026 + Z00029 => C00074 + C00009 + Z00026 + Z00029,C00022 + C00013 + Z00026 + Z00029,C00074 + C00009 + Z00026 + Z00029,1.0,1.0,1.0,R00200,2.7.1.40
R03546,reverse,KEGG,,C00011 + C01563 => C01417 + C00080 + C00288,C00011 + C01563,C01417 + C00080 + C00288,1.0,1.0,1.0,R03546,4.2.1.104
R03546,forward,KEGG,,C01417 + C00080 + C00288 => C00011 + C01563,C01417 + C00080 + C00288,C00011 + C01563,1.0,1.0,1.0,R03546,4.2.1.104
RZ_394,forward,KEGG,,C06033 => Z00039,C06033,Z00039,1.0,1.0,1.0,RZ,
R00430_gGTP_v2,reverse,KEGG (Modified),"K, Mg",C00074 + C00009 + Z00026 + Z00029 => C00022 + C00013 + Z00026 + Z00029,C00074 + C00009 + Z00026 + Z00029,C00022 + C00013 + Z00026 + Z00029,1.0,1.0,1.0,R00430,2.7.1.40
R09717_v2,forward,KEGG (Modified),Mn,C19813 + Z00030 => C00037 + C00048 + Z00030,C19813 + Z00030,C00037 + C00048 + Z00030,1.0,2.0,1.5,R09717,4.1.3.41
R04478_v1,forward,KEGG (Modified),Zn,C04115 + Z00054 => C04434 + C00001 + Z00054,C04115 + Z00054,C04434 + C00001 + Z00054,1.0,2.0,1.5,R04478,4.2.1.83
R04781_v2,forward,KEGG (Modified),M2,C04115 + Z00069 => C05364 + C00001 + Z00069,C04115 + Z00069,C05364 + C00001 + Z00069,1.0,2.0,1.5,R04781,4.2.1.80
R04781_v1,forward,KEGG (Modified),Mn,C04115 + Z00030 => C05364 + C00001 + Z00030,C04115 + Z00030,C05364 + C00001 + Z00030,1.0,2.0,1.5,R04781,4.2.1.80
R05078,forward,KEGG,,C06033 => C06035 + C00001,C06033,C06035 + C00001,1.0,2.0,1.5,R05078,
R02546,forward,KEGG,,C00898 => C00552,C00898,C00552,1.0,2.0,1.5,R02546,5.1.2.5
R00320,forward,KEGG,,C00013 + C00033 => C00009 + C00227,C00013 + C00033,C00009 + C00227,1.0,2.0,1.5,R00320,2.7.2.12
R09717_v1,forward,KEGG (Modified),Co,C19813 + Z00006 => C00037 + C00048 + Z00006,C19813 + Z00006,C00037 + C00048 + Z00006,1.0,2.0,1.5,R09717,4.1.3.41
R00658_v1,reverse,KEGG (Modified),Mg,C00074 + C00001 + Z00029 => C00631 + Z00029,C00074 + C00001 + Z00029,C00631 + Z00029,1.0,2.0,1.5,R00658,4.2.1.11
R00488_v1,reverse,KEGG (Modified),Zn,C00033 + C00049 + Z00054 => C01042 + C00001 + Z00054,C00033 + C00049 + Z00054,C01042 + C00001 + Z00054,1.0,2.0,1.5,R00488,3.5.1.15
R11750,forward,KEGG,,C00490 => C21632,C00490,C21632,1.0,2.0,1.5,R11750,
